Date,INDEX_FUT_BUY,INDEX_FUT_SELL,INDEX_FUT_NET,STK_FUT_BUY,STK_FUT_SELL,STK_FUT_NET,INDEX_OPT_BUY,INDEX_OPT_SELL,INDEX_OPT_NET,STK_OPT_BUY,STK_OPT_SELL,STK_OPT_NET,OPEN_INT,OPEN_INT_AMT
7/1/2021,3510.2,3805.41,-295.21,468040.91,459963.15,8077.76,14750.62,14653.16,97.46,8079.67,8174.09,-94.42,1187092,97235.72
6/1/2021,3193.03,3369.49,-176.46,293100.54,295031.14,-1930.6,11845.92,11957.27,-111.35,5829.28,5896.54,-67.26,1193668,97971.49
5/1/2021,4443.59,3500.89,942.7,286360.12,285553.36,806.76,12443.43,11662.23,781.2,6221.42,6303.86,-82.44,1191420,97332.45
4/1/2021,1344.31,1609.21,-264.9,93792.23,92290.07,1502.16,4305.37,3781.56,523.81,3538.79,3844.63,-305.84,1172049,94481.93
1/1/2021,8087.47,8068.17,19.3,506307.34,507609.34,-1302,23801.51,23453.54,347.97,3096.81,2570.58,526.23,1169249,93707.38
31/12/2020,6016.61,6484.96,-468.35,344157.13,341133.93,3023.2,26716.9,26447.25,269.65,4663.51,4797.16,-133.65,1243329,99791.42
30/12/2020,4954.21,5241.11,-286.9,247962.12,247968.97,-6.85,39369.02,40388.48,-1019.46,6201.16,6560.47,-359.31,1263791,101678.22
29/12/2020,4235.55,3803.09,432.46,155724.66,152912.62,2812.04,32209.28,33233.93,-1024.65,6309.14,6155.42,153.72,1268203,102236.89
28/12/2020,4180.55,3078.34,1102.21,535967.08,535187.64,779.44,16135.84,16162.78,-26.94,9731.66,9822.13,-90.47,1273751,101890.37
24/12/2020,2903.85,4282.84,-1378.99,331499.81,331552.04,-52.23,14668.95,14478.78,190.17,8132.62,8107.87,24.75,1269429,100813.26
23/12/2020,6669.62,6080.14,589.48,450423.56,449206.89,1216.67,17224.92,16035.03,1189.89,12309.58,12355.31,-45.73,1275630,100075
22/12/2020,7238.94,7503.87,-264.93,461084.04,459839.06,1244.98,23070.36,21549.62,1520.74,13744.95,13883.21,-138.26,1293125,99922.71
21/12/2020,3869.4,4065.91,-196.51,183712.63,181318.58,2394.05,14259.54,14651.09,-391.55,6905.56,6953.97,-48.41,1302182,104859.74
18/12/2020,2526.76,2901.3,-374.54,397405.26,395849.01,1556.25,12033.34,12394.64,-361.3,5588.78,5575.5,13.28,1298408,104494.56
17/12/2020,3310.41,2757.05,553.36,259136.63,258775.51,361.12,13588.11,13645.62,-57.51,5400.43,5405.74,-5.31,1302265,104656.61
16/12/2020,3055.76,3151.02,-95.26,214830.62,213414.58,1416.04,12469.26,12646.47,-177.21,4720.88,4680.34,40.54,1311699,104776.8
15/12/2020,2421.68,3233.51,-811.83,186886.72,186786.2,100.52,10953.44,11203.38,-249.94,4682.53,4727.51,-44.98,1319423,104821.37
14/12/2020,4472.34,4181.42,290.92,225212.94,225740.32,-527.38,13058.27,13421.53,-363.26,5709.74,5773.92,-64.18,1322132,104451.76
11/12/2020,2557.61,3868.33,-1310.72,578602.6,573065.8,5536.8,12302.7,13481.91,-1179.21,4384.82,4469.45,-84.63,1317804,104148.57
10/12/2020,3952.25,3354.59,597.66,239570.42,239636.51,-66.09,11773.75,12365.08,-591.33,4304.07,4175.58,128.49,1311278,104104.72
9/12/2020,3536.16,3860.26,-324.1,240287.77,240972.18,-684.41,13574.08,13555.2,18.88,5706.63,5711.27,-4.64,1321614,104151.53
8/12/2020,2699.86,3829.65,-1129.79,209061.83,210363.59,-1301.76,13015.61,13316.63,-301.02,4817.06,4770.7,46.36,1313932,103486.33
7/12/2020,3974.17,3077.1,897.07,219729.64,218372.69,1356.95,14718.62,15006.83,-288.21,5369.88,5445.86,-75.98,1303375,101828.57
4/12/2020,3319.68,3144.11,175.57,515481.63,515130.09,351.54,16086.34,15551.96,534.38,4315.01,4365.47,-50.46,1316760,101714.13
3/12/2020,3449.87,4531.78,-1081.91,314176.2,312597.61,1578.59,13563.23,13101.49,461.74,4283.16,4279.48,3.68,1335881,102648.7
2/12/2020,2784.32,3266.51,-482.19,196676.41,196660,16.41,13781.63,13589.4,192.23,3811.5,3793.25,18.25,1333397,101991.41
1/12/2020,5744.9,3974.42,1770.48,211743.76,210891.26,852.5,30034.63,33769.72,-3735.09,4544.68,4616.88,-72.2,1326954,100247.99
27/11/2020,7282.49,7399.95,-117.46,767041.66,764708.06,2333.6,24890.22,22352.74,2537.48,2315.16,1840.95,474.21,1269642,94996.6
26/11/2020,9103.25,10906.08,-1802.83,503834.13,503802.13,32,34466.15,33218.59,1247.56,5084.01,5173.97,-89.96,1299514,96032.33
25/11/2020,7287.52,7316.62,-29.1,219053.08,216509.15,2543.93,44495.8,45403.3,-907.5,6918.77,7231.34,-312.57,1316492,98604.19
24/11/2020,5320.52,5247.27,73.25,292027.12,292788.68,-761.56,36985.19,37677.27,-692.08,9567.6,9607.1,-39.5,1318976,97765.05
23/11/2020,5383.55,4734.56,648.99,260017.72,259756.35,261.37,18872.02,19413.16,-541.14,11351.2,11131.08,220.12,1320231,97315.91
20/11/2020,4059.83,4797.48,-737.65,599909.93,597684.24,2225.69,12931.01,14457.02,-1526.01,10121.21,10073.83,47.38,1322225,96687.45
19/11/2020,3370.68,2923.74,446.94,297807.52,295672.46,2135.06,12634.13,12929.37,-295.24,9708.3,9730.59,-22.29,1319557,97988.86
18/11/2020,3848.18,2833.38,1014.8,202389.32,200353.96,2035.36,10514.85,10311.06,203.79,8224.81,8210.65,14.16,1312081,96566.83
17/11/2020,233.09,81.56,151.53,15837.13,17005.55,-1168.42,274.62,93.51,181.11,352.3,354.12,-1.82,1299641,94645.18
13/11/2020,3421.48,5073.72,-1652.24,574257.31,570572.46,3684.85,15867.24,16022.3,-155.06,6809.52,6845.19,-35.67,1293302,93552.08
12/11/2020,5745.46,5506.92,238.54,486614.21,486731.98,-117.77,20477.85,20870,-392.15,9536.51,9515.4,21.11,1288079,93654.49
11/11/2020,6941.83,4924.98,2016.85,348921.21,348653.98,267.23,20397.97,21398.09,-1000.12,9862.74,9795.25,67.49,1275783,91774.06
10/11/2020,4332.08,3427.47,904.61,215579.13,217284.25,-1705.12,15407.06,16161.67,-754.61,6060.42,6080.89,-20.47,1262201,89621.93
9/11/2020,4219.68,3698.32,521.36,183183.98,180613.76,2570.22,15901.38,15924.48,-23.1,6954.31,6977.24,-22.93,1239683,86547.65
6/11/2020,7194.15,3753.16,3440.99,394797.92,391891,2906.92,16150.94,15562.8,588.14,5387.08,5403.18,-16.1,1221896,84649.2
5/11/2020,4936.18,5225.87,-289.69,331034.23,331170.42,-136.19,16540.99,15777.08,763.91,7333.63,7400.28,-66.65,1204250,81837.87
4/11/2020,3746.19,3266.33,479.86,187141.87,186111.07,1030.8,15521.38,14776.11,745.27,6538.2,6565.66,-27.46,1189394,80103.62
3/11/2020,5226.34,3999.75,1226.59,215220.64,216974.37,-1753.73,16711.77,15977.69,734.08,7818.64,7724.15,94.49,1185732,78763.24
2/11/2020,4491.37,5457.29,-965.92,183527.99,183494.11,33.88,16368.89,15610.34,758.55,5062.5,5003.72,58.78,1163280,76020
29/10/2020,6288.34,8193.66,-1905.32,334083.5,336008.96,-1925.46,32248.55,30898.66,1349.89,7427.03,7452.16,-25.13,1098994,78252.76
28/10/2020,5516.46,6632.23,-1115.77,247419.23,247604.24,-185.01,40807.88,38365.5,2442.38,8679.67,8616.13,63.54,1128905,81317.82
27/10/2020,4980.21,5580.23,-600.02,218108.94,218581,-472.06,33068.76,32356.2,712.56,8797.62,8748.31,49.31,1120215,80058.69
26/10/2020,2904.46,3505.85,-601.39,126415.59,126379.98,35.61,20485.25,20170.11,315.14,7232.17,7203.31,28.86,1115071,80860.75
23/10/2020,4349.08,4667.64,-318.56,542966.31,543735.89,-769.58,15978.93,16008.9,-29.97,6648.76,6571.08,77.68,1123992,81282.34
22/10/2020,5727.55,5576.87,150.68,385541.32,384717.71,823.61,16854.99,16718.36,136.63,8920.16,8918.08,2.08,1121132,81059.24
21/10/2020,3142.03,3426.59,-284.56,200384.31,201451.07,-1066.76,12580.46,12980.97,-400.51,5588.89,5546.73,42.16,1122695,80571.34
20/10/2020,3729.54,3588.72,140.82,198110.28,198145.12,-34.84,14712.14,15357.06,-644.92,6833.19,6874.34,-41.15,1125585,80540.53
19/10/2020,4061.4,4103.65,-42.25,188433.04,187760.43,672.61,14378.03,14238.86,139.17,6303.2,6249.39,53.81,1116022,79127.53
16/10/2020,5820.83,5928.1,-107.27,567108.24,565783.39,1324.85,15853.8,15632.02,221.78,8634.44,8775.16,-140.72,1119259,78308.5
15/10/2020,3530.49,4244.08,-713.59,261880.03,259410.49,2469.54,13344.76,13974.62,-629.86,6308.57,6241.82,66.75,1120643,80572.77
14/10/2020,2453.15,2512.23,-59.08,190972.82,190917.71,55.11,12677.86,13609.27,-931.41,5225.64,5314.53,-88.89,1123831,80498.65
