Date,Open,High,Low,Close,Volume,VIX,Exchange,Crude
2017-05-05,9374.55,9377.1,9272.0,9285.3,239134000,11.9875,64.315,46.22
2017-05-08,9311.45,9338.7,9297.95,9314.05,179710000,11.665,64.36,46.43
2017-05-09,9337.35,9338.95,9307.7,9316.85,136416992,11.1125,64.68,45.88
2017-05-10,9339.65,9414.75,9336.0,9407.3,157363008,10.9475,64.615,47.33
2017-05-11,9448.6,9450.65,9411.3,9422.4,176440000,10.8375,64.405,47.83
2017-05-12,9436.65,9437.75,9372.55,9400.9,159079008,10.6275,64.243,47.84
2017-05-15,9433.55,9449.25,9423.1,9445.4,145164000,10.675,64.065,48.85
2017-05-16,9461.0,9517.2,9456.35,9512.25,171708992,10.56,64.045,48.66
2017-05-17,9517.6,9532.6,9486.1,9525.75,211856000,10.635,64.13,49.07
2017-05-18,9453.2,9489.1,9418.1,9429.45,199340992,11.785,64.88,49.35
2017-05-19,9469.9,9505.75,9390.75,9427.9,259860992,11.3025,64.565,50.33
2017-05-22,9480.25,9498.65,9427.9,9438.25,202875008,11.2025,64.51,50.73
2017-05-23,9445.05,9448.05,9370.0,9386.15,231346000,12.2025,64.895,51.47
2017-05-24,9410.9,9431.9,9341.65,9360.55,218264992,11.83,64.77,51.36
2017-05-25,9384.05,9523.3,9379.2,9509.75,298147008,10.4475,64.555,48.9
2017-05-26,9507.75,9604.9,9495.4,9595.1,225648000,10.8625,64.51,49.8
2017-05-29,9560.05,9637.75,9547.7,9604.9,242266000,11.7875,64.54,49.97
2017-05-30,9590.65,9635.3,9581.2,9624.55,199894000,11.765,64.635,49.66
2017-05-31,9636.55,9649.6,9609.25,9621.25,427052992,11.7625,64.51,48.32
2017-06-01,9603.55,9634.65,9589.9,9616.1,181532992,11.3075,64.478,48.36
2017-06-02,9657.15,9673.5,9637.45,9653.5,167195008,10.81,64.415,47.66
2017-06-05,9656.3,9687.2,9640.7,9675.1,131685000,11.015,64.35,47.4
2017-06-06,9704.25,9709.3,9630.2,9637.15,150380000,11.1325,64.43,48.19
2017-06-07,9663.95,9678.55,9630.55,9663.9,165670000,10.89,64.435,45.72
2017-06-08,9682.4,9688.7,9641.5,9647.25,160164992,11.0675,64.25,45.64
2017-06-09,9638.55,9676.25,9608.15,9668.25,163898000,10.8625,64.245,45.83
2017-06-12,9646.7,9647.05,9598.5,9616.4,145787008,11.4225,64.48,46.08
2017-06-13,9615.55,9654.15,9595.4,9606.9,133734000,11.34,64.345,46.46
2017-06-14,9621.55,9627.4,9580.45,9618.15,187379008,11.18,64.235,44.73
2017-06-15,9617.9,9621.4,9560.8,9578.05,176423008,11.325,64.565,44.46
2017-06-16,9595.45,9615.85,9565.5,9588.05,219808992,10.915,64.465,44.74
2017-06-19,9626.4,9673.3,9614.9,9657.55,146146000,10.6275,64.495,44.2
2017-06-20,9670.5,9676.5,9643.75,9653.5,164436992,10.6575,64.54,43.23
2017-06-21,9648.1,9650.45,9608.6,9633.6,148491008,10.915,64.53,42.53
2017-06-22,9642.65,9698.85,9617.75,9630.0,204888992,11.2075,64.605,42.74
2017-06-23,9643.25,9647.65,9565.3,9574.95,180580992,11.5575,64.505,43.01
2017-06-27,9594.05,9615.4,9473.45,9511.4,209594000,12.5075,64.475,44.24
2017-06-28,9520.2,9522.5,9474.35,9491.25,177652000,11.99,64.525,44.74
